distinct_values,count,column_name
008W0,7,LatestAgencyD_01
008W1,11,LatestAgencyD_01
008W3,101,LatestAgencyD_01
008W5,2,LatestAgencyD_01
008W8,3,LatestAgencyD_01
008WB,1,LatestAgencyD_01
008WC,1,LatestAgencyD_01
008WE,9,LatestAgencyD_01
008WH,1,LatestAgencyD_01
008WK,2,LatestAgencyD_01
008WL,3,LatestAgencyD_01
008WP,2,LatestAgencyD_01
008WR,8,LatestAgencyD_01
008WS,4,LatestAgencyD_01
008WW,3,LatestAgencyD_01
008WX,2,LatestAgencyD_01
008X1,2,LatestAgencyD_01
008X2,2,LatestAgencyD_01
008X4,4,LatestAgencyD_01
008X5,2,LatestAgencyD_01
008X6,2,LatestAgencyD_01
008X8,7,LatestAgencyD_01
008XB,2,LatestAgencyD_01
008XC,1,LatestAgencyD_01
008XF,3,LatestAgencyD_01
008XG,4,LatestAgencyD_01
008XM,8,LatestAgencyD_01
008XN,3,LatestAgencyD_01
008XQ,1,LatestAgencyD_01
008YR,10,LatestAgencyD_01
008YS,46,LatestAgencyD_01
00901,71,LatestAgencyD_01
00902,178,LatestAgencyD_01
00903,32,LatestAgencyD_01
00906,68,LatestAgencyD_01
00908,113,LatestAgencyD_01
00909,22,LatestAgencyD_01
00911,138,LatestAgencyD_01
00912,43,LatestAgencyD_01
00913,31,LatestAgencyD_01
00914,48,LatestAgencyD_01
00915,90,LatestAgencyD_01
00916,3,LatestAgencyD_01
00917,51,LatestAgencyD_01
00918,9,LatestAgencyD_01
00919,65,LatestAgencyD_01
00924,5,LatestAgencyD_01
00926,478,LatestAgencyD_01
00927,2,LatestAgencyD_01
00929,3,LatestAgencyD_01
00933,1,LatestAgencyD_01
00934,2,LatestAgencyD_01
00936,411,LatestAgencyD_01
00938,50,LatestAgencyD_01
00939,302,LatestAgencyD_01
009A2,3441,LatestAgencyD_01
01000,12,LatestAgencyD_01
01001,50,LatestAgencyD_01
01004,2,LatestAgencyD_01
01007,88,LatestAgencyD_01
01009,26,LatestAgencyD_01
01012,67,LatestAgencyD_01
01014,3,LatestAgencyD_01
01017,51,LatestAgencyD_01
01018,12,LatestAgencyD_01
01019,51,LatestAgencyD_01
01021,7,LatestAgencyD_01
01022,12,LatestAgencyD_01
01024,3,LatestAgencyD_01
01025,25,LatestAgencyD_01
01026,6,LatestAgencyD_01
01027,8,LatestAgencyD_01
01029,4,LatestAgencyD_01
01030,3,LatestAgencyD_01
01031,2,LatestAgencyD_01
01035,3,LatestAgencyD_01
01036,13,LatestAgencyD_01
01037,51,LatestAgencyD_01
01038,3,LatestAgencyD_01
01039,13,LatestAgencyD_01
01040,21,LatestAgencyD_01
01041,10,LatestAgencyD_01
01042,5,LatestAgencyD_01
01043,6,LatestAgencyD_01
01045,57,LatestAgencyD_01
01048,52,LatestAgencyD_01
01049,12,LatestAgencyD_01
01050,288,LatestAgencyD_01
01051,2,LatestAgencyD_01
01052,9,LatestAgencyD_01
01054,18,LatestAgencyD_01
01055,125,LatestAgencyD_01
01056,16,LatestAgencyD_01
01057,36,LatestAgencyD_01
01060,2,LatestAgencyD_01
01061,9,LatestAgencyD_01
01063,111,LatestAgencyD_01
01064,26,LatestAgencyD_01
01065,3,LatestAgencyD_01
01066,119,LatestAgencyD_01
01067,2,LatestAgencyD_01
01068,12,LatestAgencyD_01
01069,3,LatestAgencyD_01
01070,1,LatestAgencyD_01
01073,3,LatestAgencyD_01
01074,1,LatestAgencyD_01
01075,6,LatestAgencyD_01
01076,1,LatestAgencyD_01
01077,15,LatestAgencyD_01
01079,2,LatestAgencyD_01
01080,20,LatestAgencyD_01
01081,19,LatestAgencyD_01
01083,4,LatestAgencyD_01
01086,3,LatestAgencyD_01
01088,1,LatestAgencyD_01
01089,3,LatestAgencyD_01
01090,2,LatestAgencyD_01
01093,10,LatestAgencyD_01
01095,7,LatestAgencyD_01
01096,6,LatestAgencyD_01
