distinct_values,count,column_name
5AC,6,LatestPolicyType_02
5AD,262,LatestPolicyType_02
5AE,8313,LatestPolicyType_02
5AG,93,LatestPolicyType_02
5AJ,4,LatestPolicyType_02
5AL,237,LatestPolicyType_02
5AQ,136,LatestPolicyType_02
5AR,8597,LatestPolicyType_02
5AS,316,LatestPolicyType_02
5AU,552,LatestPolicyType_02
5AV,14,LatestPolicyType_02
5AX,560,LatestPolicyType_02
5AY,144378,LatestPolicyType_02
5AZ,377,LatestPolicyType_02
5B0,117,LatestPolicyType_02
5B2,163,LatestPolicyType_02
5B3,2,LatestPolicyType_02
5B5,3479,LatestPolicyType_02
5B6,70,LatestPolicyType_02
5B8,171,LatestPolicyType_02
5B9,3,LatestPolicyType_02
5BJ,4,LatestPolicyType_02
5BZ,2492,LatestPolicyType_02
5C0,129,LatestPolicyType_02
5C1,6,LatestPolicyType_02
5C3,635,LatestPolicyType_02
5C6,4352,LatestPolicyType_02
5C7,5913,LatestPolicyType_02
5C8,13,LatestPolicyType_02
5C9,1,LatestPolicyType_02
5CB,9757,LatestPolicyType_02
5CC,8,LatestPolicyType_02
5CD,2,LatestPolicyType_02
5CE,217,LatestPolicyType_02
5CF,1462,LatestPolicyType_02
5CG,36,LatestPolicyType_02
5CH,3,LatestPolicyType_02
5CJ,54,LatestPolicyType_02
5CK,835,LatestPolicyType_02
5CL,4133,LatestPolicyType_02
5CM,2584,LatestPolicyType_02
5CN,5,LatestPolicyType_02
5CP,8992,LatestPolicyType_02
5CQ,649,LatestPolicyType_02
5CR,296,LatestPolicyType_02
5CS,23,LatestPolicyType_02
5CT,23290,LatestPolicyType_02
5CU,506,LatestPolicyType_02
5CV,504,LatestPolicyType_02
5CW,21,LatestPolicyType_02
5CY,122052,LatestPolicyType_02
5D0,148,LatestPolicyType_02
5D2,1,LatestPolicyType_02
5D4,1291,LatestPolicyType_02
5D5,43303,LatestPolicyType_02
5D7,9,LatestPolicyType_02
5D9,34802,LatestPolicyType_02
5DA,64,LatestPolicyType_02
5DB,146,LatestPolicyType_02
5DC,34,LatestPolicyType_02
5DD,1974,LatestPolicyType_02
5DE,628,LatestPolicyType_02
5DF,32,LatestPolicyType_02
5DG,5,LatestPolicyType_02
5DH,379,LatestPolicyType_02
5DJ,118,LatestPolicyType_02
5DK,16,LatestPolicyType_02
5DL,6,LatestPolicyType_02
5DP,19,LatestPolicyType_02
5DQ,8,LatestPolicyType_02
5DT,4,LatestPolicyType_02
5DV,1,LatestPolicyType_02
5DX,1,LatestPolicyType_02
5DZ,79,LatestPolicyType_02
5EA,8498,LatestPolicyType_02
5EB,71,LatestPolicyType_02
600,16160,LatestPolicyType_02
600.0,4,LatestPolicyType_02
601,61139,LatestPolicyType_02
601.0,164,LatestPolicyType_02
603,10,LatestPolicyType_02
604,64,LatestPolicyType_02
605,306,LatestPolicyType_02
606,21,LatestPolicyType_02
610,43418,LatestPolicyType_02
610.0,5,LatestPolicyType_02
612,322,LatestPolicyType_02
613,12,LatestPolicyType_02
620,18534,LatestPolicyType_02
622,104,LatestPolicyType_02
623,18,LatestPolicyType_02
700,131,LatestPolicyType_02
701,4888,LatestPolicyType_02
702,297,LatestPolicyType_02
